Lx,Ly,Lz,Rx,Ry,Rz
15268,-3228,4516,9996,-2220,11844
17328,-1808,5992,9200,-7000,12884
16600,-1884,3780,13876,-4300,13836
16584,-1164,4248,18900,1800,8972
16388,-272,2112,8928,-5852,1132
17560,-1744,2824,12388,3992,3504
21864,5176,-2624,32767,-16808,-32768
23652,1864,-4412,15484,-10880,-532
20544,-16856,12248,19952,-528,6500
13992,5716,13964,18188,3072,5252
5236,2560,12412,15240,-168,760
8044,-1068,15624,15812,-260,1400
14144,2176,16652,13512,-2900,3300
17024,-728,13420,16620,736,2452
4472,3380,-676,17740,-2412,4624
12048,-6656,10188,20080,-2504,-4672
12668,-9480,6988,23436,-13552,204
16992,-2552,9664,21856,4400,-1268
15324,-468,9868,15992,5232,6684
16796,-320,5176,12532,-11340,8012
16704,-1984,2752,8876,-3688,11680
16924,-2148,3940,11308,-1708,12320
15316,-2040,4784,11452,-4368,14092
15668,-2224,3168,16348,5780,12280
15540,880,7212,10924,-11788,5128
14016,-1832,5308,9472,3092,4544
21896,-1248,7872,5252,4060,4216
18996,-4444,13508,22720,12084,12940
10536,5252,15376,17908,-1688,2776
6924,-6036,12008,17472,-1204,3064
9908,17352,15084,16916,336,108
8680,-1380,16272,14504,-5988,628
12380,4448,13568,16164,-1004,284
11988,4596,13384,16840,-1208,5308
12020,412,12884,16724,-3484,3892
12044,1568,13152,16312,-1688,2036
11328,2152,12480,16000,-2064,2224
11816,88,12640,16544,-412,1532
12240,-1668,12904,16360,-464,444
11528,-688,12800,16640,-1816,2716
11160,-1900,13732,16072,-1408,3036
11336,-16,12428,16768,1996,3500
12728,-1500,11400,16120,-2920,2380
12836,844,10036,16848,3692,2544
7428,6312,16452,16944,632,1480
7216,-2860,6448,22404,-9872,3232
9680,8272,9440,19136,4780,60
14680,-11144,11024,17040,6228,5888
12088,-1844,10732,12120,5800,9576
14292,-3972,10416,14656,8716,8144
13624,-2352,9884,14740,3232,8316
13516,-3856,8912,14924,-216,6092
14612,-3248,8260,16068,-1224,4824
