23556,5268,-5148,32767,8232,-712,0
25828,-6680,-1956,17296,932,8916,0
16688,-15336,8548,15924,-7852,4520,0
9020,924,11860,17492,12060,2212,0
10548,-1012,9600,17008,-2028,2484,0
10856,-2108,9868,16492,6496,1684,0
11360,-1564,12528,15436,428,1516,0
18956,1984,13692,16672,3028,3032,0
22312,928,10832,16432,-724,3072,0
14860,-748,11544,16856,2228,1324,0
11540,1188,13872,19324,-116,-280,0
9284,3540,6848,30120,-6096,-12660,0
22252,-12348,9260,29548,12632,6300,0
13528,8652,5416,7372,-1948,14036,0
15972,-10248,2684,10088,-3068,5188,0
16404,3704,912,8984,-4660,6388,0
16748,-3224,2972,14396,-6472,7684,0
17364,664,2920,16656,-8164,9720,0
15880,-1936,672,21744,4692,8120,0
17988,1000,-884,8180,-4000,6980,0
21100,-604,-2628,29280,12656,-16760,0
25096,8148,-5196,10032,-1992,3692,0
27108,-13452,8336,18056,4504,8252,0
8664,-1316,9700,16740,4764,4924,0
-11732,8248,12560,16132,-1580,1872,0
7080,1232,10024,16444,4616,2196,0
10352,1880,11484,17820,1768,1852,0
18600,1060,14212,17184,3200,552,0
22364,2736,10684,20640,2100,32,0
6480,-984,7788,17524,328,588,0
21796,-4640,-20892,22292,-1616,-344,0
6136,9664,-280,27364,2248,-3296,0
20404,-4080,7960,24304,10300,4796,0
16236,4088,5352,8404,-1804,4004,0
15624,-8212,2256,8332,-1616,8640,0
16212,1568,1684,9916,-784,8628,0
16028,-4904,1992,14812,-5772,10456,0
17056,-916,1948,20892,-5096,11020,0
17512,-428,-384,19764,4692,9284,0
20000,-36,72,5568,-1672,10008,0
22588,-3444,-5816,32767,-10236,-19400,0
25808,-4272,4436,14108,-6704,11524,0
16176,-12964,8388,19456,-56,5372,0
8828,6572,6184,18164,5356,4080,0
6200,928,11324,17452,4400,1552,0
11764,1956,10796,16104,932,1300,0
13040,4860,12672,17276,4156,3292,0
21504,1032,12392,18088,4176,980,0
20080,3576,11592,11756,-1156,-392,0
8240,-624,14688,19060,2032,-1776,0
11628,1640,4060,32767,-1748,-15528,0
18368,-13972,11692,26636,8684,5612,0
12968,9416,3420,9564,8400,15860,0
18068,-12236,2272,11148,324,7260,0
16616,3332,2000,8900,-3928,9624,0
16816,-5088,3744,15312,-3888,10052,0
17252,-12,2244,19008,-4436,11296,0
16236,-1176,-2492,19836,2036,12144,0
21184,684,-920,5480,-240,12172,0
25540,-472,-5132,32767,1108,6596,0
24756,-6392,1768,14228,-7808,11096,0
13796,-10544,6552,19944,-800,4460,0
13220,5068,8236,17940,2776,2032,0
4072,964,12904,14640,2372,2084,0
12620,2920,11816,17052,1900,2696,0
15248,4984,13828,15600,-132,888,0
21244,-1308,12372,17208,2600,324,0
14784,6512,14268,17704,-2408,-488,0
14276,36,14068,20872,-472,-7020,0
1008,6392,780,30132,3604,-2252,0
22640,-7084,11344,22736,9628,1968,0
15040,648,7596,11668,-6552,-428,0
15572,-7968,2316,6316,-3052,8356,0
17144,420,1820,11488,-572,9780,0
16568,-3376,2616,15392,-4068,10856,0
16440,392,840,24408,-652,10760,0
18204,-2108,-880,15080,-268,11796,0
19896,844,-1676,13460,-1228,13060,0
30340,7484,-9608,10572,-8556,11528,0
32767,-11868,8224,22880,9308,13340,0
9840,-3640,10160,12752,-972,5336,0
10372,2760,10528,16284,6144,3120,0
7996,1396,10464,17624,1580,1676,0
11584,1776,11304,16668,1688,2364,0
19448,3948,14796,18016,-304,1896,0
21892,1932,11656,17240,2200,-1200,0
-1720,-1528,13168,19436,-1968,-2164,0
32767,-5028,-1692,32760,-484,-10088,0
15476,-4764,11820,28792,11560,4652,0
16016,14032,232,7236,7864,22268,0
18200,-12412,2696,13408,-9112,6516,0
16060,4140,1640,8448,-788,8444,0
15860,-6964,2700,16500,-4124,10988,0
17936,-384,2184,18140,-6404,11100,0
15852,-1980,960,21392,2832,9036,0
