Lx,Ly,Lz,Rx,Ry,Rz,label
15628,-2032,5320,16652,2048,2200,1
15100,1944,7116,17276,720,2360,1
16440,-4420,3984,16672,-512,-1564,1
15844,-656,3472,17624,848,600,1
15824,-1980,3260,13908,-3516,3984,1
15584,-156,2648,6404,16,13620,1
14980,-1320,7856,11796,-3296,1072,1
14464,-20,5508,22664,4368,3496,1
16060,528,7824,15116,736,4448,1
16728,-996,6384,15840,-2848,4408,1
15000,-948,7380,16532,888,2872,1
15228,108,6932,16284,48,4200,1
16308,-744,6872,16176,-692,3224,1
14312,624,6436,16280,1652,4276,1
16464,-44,4856,16044,-524,3784,1
16188,-684,5352,15644,-1976,4292,1
15728,-764,5820,16436,-800,2120,1
17116,-836,3104,16532,-864,6128,1
17484,812,6404,16280,132,3540,1
19544,-4292,136,16460,548,4084,1
18004,7352,15080,16144,744,1224,1
11332,-5556,12744,16372,1440,2888,1
13236,2384,7396,16024,452,2128,1
19144,3396,1140,16856,-236,4996,1
15044,-148,5884,16328,872,2328,1
15936,-2740,3896,16884,-1400,2784,1
15744,892,2672,16240,1784,-1364,1
15424,144,5328,16408,2456,1160,1
16524,256,5212,16508,452,128,1
15960,-212,4308,16920,1568,-1408,1
16444,-3616,4768,21700,2136,-1180,1
16360,-1456,4052,10948,-3332,7704,1
15468,-2080,2868,10424,-3796,5820,1
17236,992,3064,17176,-2752,7824,1
14868,-2908,5592,8764,104,-1740,1
15520,-468,2628,19628,1096,1288,1
15644,-1580,4028,15492,-2836,1944,1
15968,-1248,3680,15512,1552,3292,1
16472,-952,7156,17412,-2024,3512,1
16160,-276,4648,16144,-2680,4704,1
16340,1092,3528,15600,-1160,3448,1
15328,-1104,1672,16360,-640,4044,1
16068,2448,2716,17040,-1216,-16,1
13836,-6544,10016,15984,1252,336,1
17304,-2384,7684,16320,1496,7396,1
15736,568,6204,16524,-748,3780,1
16372,4788,4256,15784,-3948,3008,1
15908,-1708,4964,16484,-452,2000,1
15800,-1328,5284,16316,484,2244,1
15824,-3256,5488,16444,1000,3996,1
15676,2924,5528,15952,-5052,3272,1
16692,3572,5320,16332,-1900,2388,1
15352,-2640,6844,16284,672,3792,1
15700,-5416,6720,16276,1808,3848,1
16188,-824,5548,16320,-1168,3892,1
16220,2416,5244,16412,-4540,3300,1
15852,-1976,5264,16240,-2344,2336,1
15840,-2660,4864,16252,1416,2424,1
