Lx,Ly,Lz,Rx,Ry,Rz
4608,7700,-12564,16296,-3736,92
4664,7736,-12352,16412,-3932,184
4824,7640,-12576,16432,-4468,452
4748,7480,-12632,16392,-2236,200
4552,7700,-12612,16560,-1724,-48
4456,7848,-12496,16608,-536,-380
4568,7700,-12440,16816,1336,-484
4592,7776,-12552,17040,1484,-620
4548,7664,-12600,16936,1508,-848
4476,7496,-12536,17132,768,-124
4572,7792,-12404,16888,-452,-220
4328,8176,-12556,16608,-2008,-340
4592,7716,-12536,16480,-3300,-320
4036,7692,-12856,16408,-2824,-448
3960,7408,-12508,16044,-5320,-404
4032,7912,-12592,16672,-1904,244
4260,8184,-12436,17020,192,-128
4568,8108,-12360,16844,1184,-568
4280,7832,-12484,16996,3128,-936
4248,7480,-12720,17040,2872,-828
4368,7352,-12648,17080,1672,-456
3992,7984,-12824,16832,536,-308
3492,8796,-12656,16524,-912,-116
4412,8532,-12920,16372,-2272,-20
4680,7880,-12084,16220,-4552,-712
4156,8048,-12576,15416,-8340,-512
4116,8864,-12404,15176,-7736,276
4136,8584,-12252,16516,-4044,516
3732,8592,-12400,16964,-312,-12
4856,7804,-12040,17144,2628,-164
4300,7536,-12324,17184,5352,-1212
4680,7780,-12732,17504,5648,-1320
4440,8028,-12392,17000,2420,-784
4412,8400,-12152,16656,-172,-168
4404,8612,-12136,16212,-2412,488
4800,7804,-12072,16072,-7352,-396
4496,8056,-12108,13812,-8592,-500
5256,7712,-11696,15300,-6848,-160
5256,8564,-11764,16356,-4988,-88
3908,8484,-12780,16516,-1612,-144
3008,8584,-12900,17164,1112,-240
3652,9120,-12372,17088,2600,-668
4228,9332,-11468,17192,3104,-1024
4336,8440,-10956,17228,2700,-960
3812,8756,-12004,17000,972,-456
2160,9756,-11464,16888,-568,-192
6128,10804,-11132,16456,-2024,-160
5960,13100,-10584,16220,-3680,-372
1148,11168,-11980,16224,-4824,-436
6780,13856,-14440,15920,-5536,-528
1340,14952,-16604,15964,-5264,-512
2188,11548,-10812,16104,-4436,-568
